verb_surface,occurrences,total_args,role_direct_object,role_imperf_verb,role_prep_phrase,role_subject,role_state,role_predicate,role_imper_verb,role_past_verb,role_subject_nominal,role_cognate,role_purpose,role_specifier,role_comitative
وآتوا,15,68,25.0,5.0,16.0,1.0,1.0,4.0,6.0,6.0,3.0,0.0,0.0,1.0,0.0
يجعل,15,57,19.0,5.0,22.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
كلوا,15,68,4.0,5.0,31.0,1.0,3.0,3.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0
واذكر,15,61,17.0,0.0,23.0,0.0,2.0,5.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0
يأتيهم,15,60,1.0,7.0,24.0,15.0,3.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
ليقولن,15,59,3.0,9.0,3.0,4.0,0.0,12.0,4.0,10.0,13.0,1.0,0.0,0.0,0.0
يكفر,15,70,10.0,10.0,32.0,7.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
كسبوا,15,63,5.0,7.0,19.0,5.0,3.0,6.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0
اتخذ,15,55,17.0,2.0,14.0,7.0,0.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
خلت,15,76,2.0,3.0,42.0,9.0,1.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0
يستطيعون,15,37,15.0,8.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
وقيل,15,63,7.0,5.0,20.0,6.0,0.0,1.0,9.0,10.0,4.0,1.0,0.0,0.0,0.0
ملكت,15,68,4.0,4.0,25.0,16.0,0.0,6.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0
يخلق,14,56,14.0,14.0,9.0,2.0,0.0,7.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0
افترى,14,56,9.0,4.0,34.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
أوحينا,14,70,9.0,5.0,39.0,0.0,4.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0
