sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,1,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,3,مُنْذُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,4,يَوْمِ,FIIL,مَرْفُوع,ضمة,فعل مضارع,يوم,فَعْل,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,5,الْجُمُعَةِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,,,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,0,سَلَامٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,لوم,فَاعٍ,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,1,هِيَ,ISM_MABNI,مَبْنِي,,اسم مبني,,,DAMEER
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,2,حَتَّى,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,3,مَطْلَعِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,طلع,مَفْعَل,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,4,الْفَجْرِ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,فجر,فَعْل,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,0,جَاءَنِي,FIIL,مَبْنِي,,فعل ماضٍ,جءن,فَاعَل,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,2,حَاشَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٌ,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,0,جَاءَنِي,FIIL,مَبْنِي,,فعل ماضٍ,جءن,فَاعَل,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,2,عَدَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٌ,
