wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
فليفعلن,فَلَيَفْعَلَن | فَلَيُفَعِّلُن,mishkat_extracted,,verb,2,2,بتك+فَلَيُبَتِّكُنَّ | علم+فَلَيَعْلَمَنَّ
فليفعلو,فَلْيَفْعَلُو,mishkat_extracted,,verb,2,2,ضحك+فَلْيَضْحَكُوا | فرح+فَلْيَفْرَحُوا
فمبعول,فِمَبْعُول,mishkat_extracted,,noun,2,1,بعث+بِمَبْعُوثِينَ
فوعلتم,فُوعِلْتُم,mishkat_extracted,,noun,2,2,عقب+عُوقِبْتُم | قتل+قُوتِلْتُم
فيفاعل,فَيُفَاعِل,mishkat_extracted,,verb,2,1,ضعف+فَيُضَاعِفَهُ
فيفتعل,فَيَفتَعِل | فَيَفْتَعِل,mishkat_extracted,,verb,2,2,عذر+فَيَعْتَذِرُونَ | نقم+فَيَنتَقِمُ
لفعلة,وَلَلفَعِلَة,mishkat_extracted,,noun,2,1,ءخر+وَلَلأَخِرَةُ
مستفعلة,مُسْتَفعِلَة | مُسْتَفْعَلَة | مُسْتَفْعِلَة,canonical_table | mishkat_extracted,اسم الفاعل (feminine) | اسم المفعول (feminine),noun,2,2,(curated)+مُسْتَخْرِجَة | (curated)+مُسْتَخْرَجَة | بشر+مُسْتَبْشِرَةٌ | نفر+مُسْتَنفِرَةٌ
مفتاعل,مُفَتَاعِل,mishkat_extracted,,noun,2,1,تبع+مُتَتَابِعَيْنِ
مفتعلة,مُفْتَعَلَة | مُفْتَعِلَة | وَالْمُفْتَعِلَة,canonical_table | mishkat_extracted,اسم الفاعل (feminine) | اسم المفعول (feminine) | اسم المكان (feminine),noun,2,2,(curated)+مُجْتَهِدَة | (curated)+مُجْتَمَعَة | (curated)+مُجْتَمَعَة | ءفك+وَالْمُؤْتَفِكَةَ | قصد+مُقْتَصِدَةٌ
ياافعيل,يَاإِفْعِيل,mishkat_extracted,,noun,2,1,بلس+يَاإِبْلِيسُ
يتفاعلو,لِيَتَفَاعَلُو | يَتَفَاعَلُو,mishkat_extracted,,verb,2,2,حكم+يَتَحَاكَمُوا | سءل+لِيَتَسَاءَلُوا
يفتعلو,وَلِيَفْتَعِلُو | يَفْتَعِلُو,mishkat_extracted,,verb,2,2,عزل+يَعْتَزِلُوكُم | قرف+وَلِيَقْتَرِفُوا
يفعلل,لِيَفْعَلِل | وَيُفَعْلِل,mishkat_extracted,,verb,2,2,طمءن+لِيَطْمَئِنَّ | قلل+وَيُقَلِّلُكُم
يفعول,يَفعُول | يَفْعُول,mishkat_extracted,,verb,2,2,حمم+يَحْمُومٍ | نبع+يَنبُوعًا
ينفعل,يَنفَعِل | يَنفَعْل,mishkat_extracted,,verb,2,2,طلق+يَنطَلِقُ | قضض+يَنقَضَّ
ءافعال,ءَأَفْعَال,mishkat_extracted,,noun,1,1,ربب+ءَأَرْبَابٌ
اتستفعل,أَتَسْتَفْعِل,mishkat_extracted,,noun,1,1,بدل+أَتَسْتَبْدِلُونَ
اتفاعلونن,أَتُفَاعِلُونَن,mishkat_extracted,,verb,1,1,جدل+أَتُجَادِلُونَنِي
اتفعلونن,أَتُفِعْلُونَن,mishkat_extracted,,verb,1,1,مدد+أَتُمِدُّونَنِ
استفعلن,لأَسْتَفْعِلَن,mishkat_extracted,,verb,1,1,غفر+لأَسْتَغْفِرَنَّ
افاعلتم,افَّاعَلْتُم,mishkat_extracted,,verb,1,1,ثقل+اثَّاقَلْتُم
افاعلو,افَّاعَلُو,mishkat_extracted,,verb,1,1,درك+ادَّارَكُوا
افافعل,أَفَأُفَعِّل,mishkat_extracted,,verb,1,1,نبء+أَفَأُنَبِّئُكُم
افالعال,بِافأَلْعَال,mishkat_extracted,,verb,1,1,لقب+بِالأَلْقَابِ
افبفعلة,أَفَبِفِعْلَة,mishkat_extracted,,verb,1,1,نعم+أَفَبِنِعْمَةِ
افدعل,وَافْدُعِل,mishkat_extracted,,verb,1,1,زجر+وَازْدُجِرَ
افطعلت,وَافْطَعَلْت,mishkat_extracted,,verb,1,1,صنع+وَاصْطَنَعْتُكَ
افطعلتم,افْطُعِلْتُم,mishkat_extracted,,verb,1,1,ضرر+اضْطُرِرْتُم
افعالت,افْعَأَلَّت,mishkat_extracted,,verb,1,1,شمز+اشْمَأَزَّت
افعلتن,افَّعَلْتَن,mishkat_extracted,,verb,1,1,تبع+اتَّبَعْتَنِي
افعلفو,افعَلَفُو,mishkat_extracted,,verb,1,1,نصر+انصَرَفُوا
افعلل,افْعَلَل,mishkat_extracted,,verb,1,1,طمءن+اطْمَأَنَّ
افعللنتم,افْعَلْلَنتُم,mishkat_extracted,,verb,1,1,طمءن+اطْمَأْنَنتُم
افعللو,وَافْعَلَلُّو,mishkat_extracted,,verb,1,1,طمءن+وَاطْمَأَنُّوا
افعول,الأُفْعُول,mishkat_extracted,,verb,1,1,خدد+الأُخْدُودِ
اففعلتم,أَفَفَعِلْتُم,mishkat_extracted,,verb,1,1,حسب+أَفَحَسِبْتُم
انفعلكمو,أَنُفْعِلُكُمُو,mishkat_extracted,,verb,1,1,لزم+أَنُلْزِمُكُمُوهَا
بالافعال,وَبِالأَفْعَال,mishkat_extracted,,noun,1,1,سحر+وَبِالأَسْحَارِ
بالفعال,وَبِالْفِعَال,mishkat_extracted,,noun,1,1,كتب+وَبِالْكِتَابِ
بالفعلة,وَبِالفَعِلَة,mishkat_extracted,,noun,1,1,ءخر+وَبِالأَخِرَةِ
بالمفعال,لَبِالْمِفْعَال,mishkat_extracted,,noun,1,1,رصد+لَبِالْمِرْصَادِ
بفعلة,وَبِفِعْلَة,mishkat_extracted,,noun,1,1,نعم+وَبِنِعْمَةِ
بفعيل,لَبِفَعِيل,mishkat_extracted,,noun,1,1,سبل+لَبِسَبِيلٍ
تفاعلت,تَفَاعَلَت,mishkat_extracted,,verb,1,1,شبه+تَشَابَهَت
تفاعيل,التَّفَاعِيل,mishkat_extracted,,verb,1,1,مثل+التَّمَاثِيلُ
تفعتل,تَفْعَتِل,mishkat_extracted,,verb,1,1,ستر+تَسْتَتِرُونَ
تفعلتم,وَتَفَعَّلْتُم,mishkat_extracted,,verb,1,1,ربص+وَتَرَبَّصْتُم
تفعلسو,تَفَعْلَسُو,mishkat_extracted,,verb,1,1,جسس+تَجَسَّسُوا
تفعلف,التَّفَعْلُف,mishkat_extracted,,verb,1,1,عفف+التَّعَفُّفِ
تفعلى,تَفَعْلَى,mishkat_extracted,,verb,1,1,صدد+تَصَدَّى
تنفعل,وَتَنفَعْل,mishkat_extracted,,verb,1,1,شقق+وَتَنشَقُّ
ساستفعل,سَأَسْتَفْعِل,mishkat_extracted,,noun,1,1,غفر+سَأَسْتَغْفِرُ
سفنعل,سَفَنعُل,mishkat_extracted,,noun,1,1,نظر+سَنَنظُرُ
فءتعلتم,فَءْتَعَلْتُم,mishkat_extracted,,noun,1,1,ءخذ+أَتَّخَذْتُم
فءعل,فَئِعْل,mishkat_extracted,,noun,1,1,ءفك+أَئِفْكًا
فاءتعل,فَأَءْتَعِل,mishkat_extracted,,noun,1,1,ءخذ+ءَأَتَّخِذُ
فابعال,فِأَبْعَال,mishkat_extracted,,noun,1,1,بصر+بِأَبْصَارِهِم
فاعلن,فَاعَلْن,mishkat_extracted,,verb,1,1,هجر+هَاجَرْنَ
فافاعلتم,فَافَّاعَلْتُم,mishkat_extracted,,verb,1,1,درء+فَادَّارَءْتُم
فافتعلتمو,فَافْتَعَلْتُمُو,mishkat_extracted,,verb,1,1,ءخذ+فَاتَّخَذْتُمُوهُم
فالابعال,فِالأَبْعَال,mishkat_extracted,,noun,1,1,بصر+بِالأَبْصَارِ
فبعالة,فِبِعَالَة,mishkat_extracted,,noun,1,1,بضع+بِبِضَاعَةٍ
فبعلة,فِبَعْلَة,mishkat_extracted,,noun,1,1,بكك+بِبَكَّةَ
فبفعلت,فَبِفِعْلَت,mishkat_extracted,,verb,1,1,عزز+فَبِعِزَّتِكَ
فتعلت,لَفْتَعَلْت,mishkat_extracted,,noun,1,1,ءخذ+لَتَّخَذْتَ
فتعلن,فَتَّعِلَن,mishkat_extracted,,noun,1,1,تبع+تَتَّبِعَنِ
فتفعلسو,فَتَفَعْلَسُو,mishkat_extracted,,verb,1,1,حسس+فَتَحَسَّسُوا
فتلعل,فِتَلْعِل,mishkat_extracted,,noun,1,1,لفت+لِتَلْفِتَنَا
فتنعل,فَتَنَعَّل,mishkat_extracted,,noun,1,1,نزل+نَتَنَزَّلُ
فسافعل,فَسَأَفْعُل,mishkat_extracted,,verb,1,1,كتب+فَسَأَكْتُبُهَا
فعابيل,فَعَابِيل,mishkat_extracted,,noun,1,1,ءبل+أَبَابِيلَ
فعتمسل,فُعْتَمْسِل,mishkat_extracted,,noun,1,1,مسك+مُسْتَمْسِكُونَ
فعتنسل,فَعْتَنسِل,mishkat_extracted,,noun,1,1,نسخ+نَسْتَنسِخُ
فعلاج,فَعْلَاج,mishkat_extracted,,noun,1,1,ثجج+ثَجَّاجًا
فعلانية,وَفَعْلَانِيَّة,mishkat_extracted,,noun,1,1,رهب+وَرَهْبَانِيَّةً
فعلب,فَعْلَب,mishkat_extracted,,noun,1,1,حبب+حَبَّبَ
فعلد,وَفَعْلَد,mishkat_extracted,,noun,1,1,عدد+وَعَدَّدَهُ
فعلف,فَعْلَف,mishkat_extracted,,noun,1,1,خفف+خَفَّفَ
فعللن,وَفَعْلَلْن,mishkat_extracted,,verb,1,1,ذلل+وَذَلَّلْنَاهَا
فعليس,فِعْلِيس,mishkat_extracted,,noun,1,1,قسس+قِسِّيسِينَ
ففاءتعلتم,فَفَاءْتَعَلْتُم,mishkat_extracted,,noun,1,1,ءخذ+أَفَاتَّخَذْتُم
ففاعلة,فَفَاعِلَة,mishkat_extracted,,noun,1,1,نظر+فَنَاظِرَةٌ
ففاعلم,فَفَأَعلُم,mishkat_extracted,,noun,1,1,ءنت+أَفَأَنتُم
ففاعلن,فَفَاعَلْن,mishkat_extracted,,verb,1,1,حسب+فَحَاسَبْنَاهَا
ففتءتعل,فَفَتَءْتَعِل,mishkat_extracted,,noun,1,1,ءخذ+أَفَتَتَّخِذُونَهُ
ففتءعل,فَفَتُؤْعِل,mishkat_extracted,,noun,1,1,ءمن+أَفَتُؤْمِنُونَ
ففعالت,فَفَعَّالَت,mishkat_extracted,,noun,1,1,كفر+فَكَفَّارَتُهُ
ففعلتم,فَفَعَلْتُم,mishkat_extracted,,verb,1,1,جعل+فَجَعَلْتُم
ففعلتمو,فَفَعِلْتُمُو,mishkat_extracted,,verb,1,1,كره+فَكَرِهْتُمُوهُ
ففعلز,فَفَعْلَز,mishkat_extracted,,noun,1,1,عزز+فَعَزَّزْنَا
ففعلل,فَفَعْلَل,mishkat_extracted,,noun,1,1,دمدم+فَدَمْدَمَ
ففعللو,فَفُعْلِلُو,mishkat_extracted,,verb,1,1,كبكب+فَكُبْكِبُوا
فكفعل,فَكَفَعِل,mishkat_extracted,,noun,1,1,ذلك+فَكَذَلِكَ
فلافعلن,فَلأُفَعِّلَن,mishkat_extracted,,verb,1,1,قطع+فَلأُقَطِّعَنَّ
فلعلو,فَلَعْلُو,mishkat_extracted,,noun,1,1,لجج+لَلَجُّوا
فلفاعلو,فَلَفَاعَلُو,mishkat_extracted,,noun,1,1,قتل+فَلَقَاتَلُوكُم
فلفعلت,فَلَفَعَلْت,mishkat_extracted,,verb,1,1,عرف+فَلَعَرَفْتَهُم
فلفنعلن,فَلَفُنَعِّلَن,mishkat_extracted,,noun,1,1,نبء+فَلَنُنَبِّئَنَّ
فليتفاعل,فَلْيَتَفَاعَل,mishkat_extracted,,noun,1,1,نفس+فَلْيَتَنَافَسِ
فليستفعل,فَلْيَسْتَفْعِل,mishkat_extracted,,noun,1,1,عفف+فَلْيَسْتَعْفِف
فليستفعلو,فَلْيَسْتَفْعِلُو,mishkat_extracted,,noun,1,1,ءذن+فَلْيَسْتَئْذِنُوا
فليفاعل,فَلْيُفَاعِل,mishkat_extracted,,verb,1,1,قتل+فَلْيُقَاتِل
فمستفعل,فَمُسْتَفَعْل,mishkat_extracted,,noun,1,1,قرر+فَمُسْتَقَرٌّ
فمعلدة,فُمَعْلَدَة,mishkat_extracted,,noun,1,1,مدد+مُمَدَّدَةٍ
فمعولة,فَمْعُولَة,mishkat_extracted,,noun,1,1,منع+مَمْنُوعَةٍ
فنتفعل,فَنَتَفَعَّل,mishkat_extracted,,verb,1,1,برء+فَنَتَبَرَّأَ
فوعلو,فُوعِلُو,mishkat_extracted,,noun,1,1,قتل+قُوتِلُوا
فياعل,فَيَأْعُل,mishkat_extracted,,noun,1,1,ءمر+أَيَأْمُرُكُم
فيتفعل,فَيَتَفَعَّل,mishkat_extracted,,verb,1,1,علم+فَيَتَعَلَّمُونَ
فيتلعل,وَفْيَتَلَعَّل,mishkat_extracted,,noun,1,1,لطف+وَلْيَتَلَطَّف
فيعيل,فِيعِيل,mishkat_extracted,,noun,1,1,سنن+سِينِينَ
فيفعلن,فَيَفْعَلْن,mishkat_extracted,,verb,1,1,ظلل+فَيَظْلَلْنَ
فيلعلو,وَفِيَلْعِلُو,mishkat_extracted,,noun,1,1,لبس+وَلِيَلْبِسُوا
فينفعلو,فَيَنفَعِلُو,mishkat_extracted,,verb,1,1,قلب+فَيَنقَلِبُوا
لفعال,وَلِلفِّعَال,mishkat_extracted,,noun,1,1,رجل+وَلِلرِّجَالِ
لفعل,وَلِلفَعْل,mishkat_extracted,,noun,1,1,ءرض+وَلِلأَرْضِ
لمفعل,وَلِلْمُفَعَّل,mishkat_extracted,,noun,1,1,طلق+وَلِلْمُطَلَّقَاتِ
متفعلة,مُتَفَعَّلَة | مُتَفَعِّلَة,canonical_table | mishkat_extracted,اسم الفاعل (feminine) | اسم المفعول (feminine),noun,1,1,(curated)+مُتَعَلِّمَة | (curated)+مُتَعَلَّمَة | فرق+مُتَفَرِّقَةٍ
مفتسعل,مُفْتَسْعِل,mishkat_extracted,,noun,1,1,سلم+مُسْتَسْلِمُونَ
مفتعيل,مُفْتَعِيل,mishkat_extracted,,noun,1,1,سطر+مُسْتَطِيرًا
مفدعل,مُفْدَعَل,mishkat_extracted,,noun,1,1,زجر+مُزْدَجَرٌ
مفطعل,الْمُفْطَعْل,mishkat_extracted,,noun,1,1,ضرر+الْمُضْطَرَّ
مفعالت,مُفْعَالَّت,mishkat_extracted,,noun,1,1,دهم+مُدْهَامَّتَانِ
مفعلر,مُفَعْلَر,mishkat_extracted,,noun,1,1,حرر+مُحَرَّرًا
مفعلف,لِلْمُفَعْلِف,mishkat_extracted,,noun,1,1,طفف+لِلْمُطَفِّفِينَ
مفعولت,مَفْعُولَت,mishkat_extracted,,noun,1,1,بسط+مَبْسُوطَتَانِ
منفعلة,مُنْفَعَلَة | مُنْفَعِلَة | وَالْمُنْفَعِلَة,canonical_table | mishkat_extracted,اسم الفاعل (feminine) | اسم المفعول (feminine),noun,1,1,(curated)+مُنْكَسِرَة | (curated)+مُنْكَسَرَة | خنق+وَالْمُنْخَنِقَةُ
نفطعل,نَفْطَعْل,mishkat_extracted,,verb,1,1,ضرر+نَضْطَرُّهُم
يافعلة,يَافَعْلَة,mishkat_extracted,,noun,1,1,حسر+يَاحَسْرَةً
يافعلت,يَافَعْلَت,mishkat_extracted,,noun,1,1,حسر+يَاحَسْرَتَنَا
يافعلتى,يَافَعْلَتَى,mishkat_extracted,,noun,1,1,حسر+يَاحَسْرَتَى
يافعلى,يَافَعَلَى,mishkat_extracted,,noun,1,1,ءسف+يَاأَسَفَى
يبنفعل,يَبْنَفُعْل,mishkat_extracted,,noun,1,1,ءمم+يَبْنَؤُمَّ
يتفعلد,يَتَفَعْلَد,mishkat_extracted,,verb,1,1,ردد+يَتَرَدَّدُونَ
يتفعلل,يَتَفَعْلَل,mishkat_extracted,,verb,1,1,سلل+يَتَسَلَّلُونَ
يفاعلن,يُفَاعِلُن,mishkat_extracted,,verb,1,1,نزع+يُنَازِعُنَّكَ
يفاعيل,يَفَاعِيل,mishkat_extracted,,verb,1,1,نبع+يَنَابِيعَ
يفتسعل,يَفْتَسْعِل,mishkat_extracted,,verb,1,1,سخر+يَسْتَسْخِرُونَ
يفطعل,يَفْطَعِل,mishkat_extracted,,verb,1,1,صرخ+يَصْطَرِخُونَ
يفعتل,يَفْعَتِل,mishkat_extracted,,verb,1,1,قتل+يَقْتَتِلاَنِ
يفعلق,يَفَّعْلَق,mishkat_extracted,,verb,1,1,شقق+يَشَّقَّقُ
يفعيل,يَفْعِيل,mishkat_extracted,,verb,1,1,قطن+يَقْطِينٍ
ينفعلو,يَنفَعْلُو,mishkat_extracted,,verb,1,1,فضض+يَنفَضُّوا
افعالة,إِفْعَالَة,canonical_table,اسم المرّة,,0,0,(curated)+إِكْرَامَة
خير,خَيْر,canonical_table,اسم التفضيل,,0,0,(curated)+خَيْر
شر,شَرّ,canonical_table,اسم التفضيل,,0,0,(curated)+شَرّ
فاعولة,فَاعُولَة,canonical_table,اسم الآلة (feminine),,0,0,(curated)+—
فعيعل,فُعَيْعِل,canonical_table,التصغير,,0,0,(curated)+دُرَيْهِم
فعيعلة,فُعَيْعِلَة,canonical_table,التصغير (feminine),,0,0,(curated)+—
فعيعيل,فُعَيْعِيل,canonical_table,التصغير,,0,0,(curated)+عُصَيْفِير
فعيعيلة,فُعَيْعِيلَة,canonical_table,التصغير (feminine),,0,0,(curated)+—
فواعلة,فَوَاعِلَة,user_extensions,شاذ,,0,0,(curated)+قَوَافِلَة
فيعل,فَيْعَل,user_extensions,شاذ,,0,0,(curated)+صَيْرَف
متفاعلة,مُتَفَاعَلَة | مُتَفَاعِلَة,canonical_table,اسم الفاعل (feminine) | اسم المفعول (feminine),,0,0,(curated)+مُتَشَارِكَة | (curated)+مُتَشَارَكَة
مفعالة,مِفْعَالَة,canonical_table,اسم الآلة (feminine) | صيغة مبالغة (feminine),,0,0,(curated)+— | (curated)+—
نستفعل,نَسْتَفْعِل | نَسْتَفْعِلُ,user_extensions,verb_form_X,,0,0,(curated)+نَسْتَخْرِجُ | (curated)+—
ي,ـِيّ,canonical_table,النسب,,0,0,(curated)+عَرَبِيّ
ية,ـِيَّة,canonical_table,المصدر الصناعي | النسب (feminine),,0,0,(curated)+إِنْسَانِيَّة | (curated)+عَرَبِيَّة
—,—,canonical_table,اسم الآلة (feminine) | اسم التفضيل (feminine) | اسم المرّة (feminine) | اسم المكان (feminine) | اسم الهيئة (feminine) | الصفة المشبهة (feminine) | المصدر الأصلي (feminine) | المصدر الصناعي (feminine) | صيغة مبالغة (feminine),,0,0,(curated)+وَقُور | (curated)+جُنُب | (curated)+— | (curated)+— | (curated)+—
