wazn_plain,voweled_variants,rows,tokens,examples
فعلانية,وَفَعْلَانِيَّة,1,1,رهب+وَرَهْبَانِيَّةً
مفدعل,مُفْدَعَل,1,1,زجر+مُزْدَجَرٌ
بفعيل,لَبِفَعِيل,1,1,سبل+لَبِسَبِيلٍ
بالافعال,وَبِالأَفْعَال,1,1,سحر+وَبِالأَسْحَارِ
مفتعيل,مُفْتَعِيل,1,1,سطر+مُسْتَطِيرًا
مفتسعل,مُفْتَسْعِل,1,1,سلم+مُسْتَسْلِمُونَ
فيعيل,فِيعِيل,1,1,سنن+سِينِينَ
مفطعل,الْمُفْطَعْل,1,1,ضرر+الْمُضْطَرَّ
مفعلف,لِلْمُفَعْلِف,1,1,طفف+لِلْمُطَفِّفِينَ
لمفعل,وَلِلْمُفَعَّل,1,1,طلق+وَلِلْمُطَلَّقَاتِ
فعلد,وَفَعْلَد,1,1,عدد+وَعَدَّدَهُ
ففعلز,فَفَعْلَز,1,1,عزز+فَعَزَّزْنَا
فليستفعل,فَلْيَسْتَفْعِل,1,1,عفف+فَلْيَسْتَعْفِف
ساستفعل,سَأَسْتَفْعِل,1,1,غفر+سَأَسْتَغْفِرُ
فلفاعلو,فَلَفَاعَلُو,1,1,قتل+فَلَقَاتَلُوكُم
فوعلو,فُوعِلُو,1,1,قتل+قُوتِلُوا
فمستفعل,فَمُسْتَفَعْل,1,1,قرر+فَمُسْتَقَرٌّ
فعليس,فِعْلِيس,1,1,قسس+قِسِّيسِينَ
بالفعال,وَبِالْفِعَال,1,1,كتب+وَبِالْكِتَابِ
ففعالت,فَفَعَّالَت,1,1,كفر+فَكَفَّارَتُهُ
فيلعلو,وَفِيَلْعِلُو,1,1,لبس+وَلِيَلْبِسُوا
فلعلو,فَلَعْلُو,1,1,لجج+لَلَجُّوا
فيتلعل,وَفْيَتَلَعَّل,1,1,لطف+وَلْيَتَلَطَّف
فتلعل,فِتَلْعِل,1,1,لفت+لِتَلْفِتَنَا
فمعلدة,فُمَعْلَدَة,1,1,مدد+مُمَدَّدَةٍ
فعتمسل,فُعْتَمْسِل,1,1,مسك+مُسْتَمْسِكُونَ
فمعولة,فَمْعُولَة,1,1,منع+مَمْنُوعَةٍ
فلفنعلن,فَلَفُنَعِّلَن,1,1,نبء+فَلَنُنَبِّئَنَّ
فتنعل,فَتَنَعَّل,1,1,نزل+نَتَنَزَّلُ
فعتنسل,فَعْتَنسِل,1,1,نسخ+نَسْتَنسِخُ
سفنعل,سَفَنعُل,1,1,نظر+سَنَنظُرُ
ففاعلة,فَفَاعِلَة,1,1,نظر+فَنَاظِرَةٌ
بفعلة,وَبِفِعْلَة,1,1,نعم+وَبِنِعْمَةِ
فليتفاعل,فَلْيَتَفَاعَل,1,1,نفس+فَلْيَتَنَافَسِ
